Time,Ligtag,Client,Coordinate system,,
2025-11-05 10:43:00 +0800,733,1,86,,
2025-11-05 10:44:00 +0800,733,1,86,,
2025-11-05 11:00:00 +0800,733,1,86,,
2025-11-05 11:24:00 +0800,733,1,86,,
2025-11-05 11:32:00 +0800,733,1,86,,
2025-11-05 11:33:00 +0800,733,1,86,,
2025-11-05 11:47:00 +0800,5519,1,431,,
2025-11-05 11:47:00 +0800,5519,1,431,,
2025-11-05 11:54:00 +0800,5519,1,431,,
2025-11-05 11:54:00 +0800,5519,1,431,,
2025-11-05 12:24:00 +0800,733,1,86,,
2025-11-05 12:31:00 +0800,733,1,86,,
2025-11-05 13:14:00 +0800,1951,78,472,,
2025-11-05 13:14:00 +0800,1951,78,472,,
2025-11-05 13:16:00 +0800,1951,78,472,,
2025-11-05 13:16:00 +0800,1951,78,472,,
2025-11-05 13:16:00 +0800,1951,78,472,,
2025-11-05 13:16:00 +0800,1951,78,472,,
2025-11-05 13:18:00 +0800,1951,78,472,,
2025-11-05 13:18:00 +0800,1951,78,472,,
2025-11-05 14:10:00 +0800,5395,1,434,,
2025-11-05 14:19:00 +0800,733,1,86,,
2025-11-05 14:25:00 +0800,5395,1,434,,
2025-11-05 14:26:00 +0800,733,1,86,,
2025-11-05 14:30:00 +0800,733,1,86,,
2025-11-05 14:47:00 +0800,733,1,86,,
2025-11-05 14:57:00 +0800,733,1,86,,
2025-11-05 15:02:00 +0800,733,1,86,,
2025-11-05 15:04:00 +0800,733,1,86,,
2025-11-05 15:08:00 +0800,733,1,86,,
2025-11-05 15:15:00 +0800,733,1,86,,
2025-11-05 15:16:00 +0800,733,1,86,,
2025-11-05 15:16:00 +0800,733,1,86,,
2025-11-05 15:19:00 +0800,733,1,86,,
2025-11-05 15:19:00 +0800,733,1,86,,
2025-11-05 15:33:00 +0800,5395,1,434,,
2025-11-05 15:34:00 +0800,733,1,86,,
2025-11-05 15:40:00 +0800,5395,1,434,,
2025-11-05 15:53:00 +0800,5395,1,434,,
2025-11-05 15:56:00 +0800,5519,1,431,,
2025-11-05 15:59:00 +0800,5519,1,431,,
2025-11-05 16:04:00 +0800,5519,1,431,,
2025-11-05 16:06:00 +0800,5519,1,431,,
2025-11-05 16:07:00 +0800,5519,1,431,,
2025-11-05 16:14:00 +0800,733,1,86,,
2025-11-05 16:18:00 +0800,733,1,86,,
2025-11-05 16:23:00 +0800,5519,1,431,,
2025-11-05 16:23:00 +0800,5519,1,431,,
2025-11-05 16:59:00 +0800,733,1,86,,
2025-11-05 17:01:00 +0800,5441,1,459,,
2025-11-05 17:04:00 +0800,5395,1,434,,
2025-11-05 17:06:00 +0800,5395,1,434,,
2025-11-05 17:54:00 +0800,5395,1,434,,
2025-11-05 21:45:00 +0800,733,1,86,,
2025-11-05 21:47:00 +0800,733,1,86,,
2025-11-05 22:22:00 +0800,5519,1,431,,
2025-11-06 09:11:00 +0800,5529,1,456,,
2025-11-06 09:14:00 +0800,5529,1,456,,
2025-11-06 09:22:00 +0800,5529,1,456,,
2025-11-06 09:41:00 +0800,5529,1,456,,
2025-11-06 10:07:00 +0800,954,1,421,,
2025-11-06 10:10:00 +0800,954,1,421,,
2025-11-06 10:11:00 +0800,954,1,421,,
2025-11-06 10:12:00 +0800,954,1,421,,
2025-11-06 10:13:00 +0800,954,1,421,,
2025-11-06 10:13:00 +0800,954,1,421,,
2025-11-06 10:13:00 +0800,954,1,421,,
2025-11-06 10:14:00 +0800,954,1,421,,
2025-11-06 10:14:00 +0800,954,1,421,,
2025-11-06 10:15:00 +0800,954,1,421,,
2025-11-06 10:19:00 +0800,954,1,421,,
2025-11-06 10:20:00 +0800,954,1,421,,
2025-11-06 10:20:00 +0800,954,1,421,,
2025-11-06 10:22:00 +0800,954,1,421,,
2025-11-06 10:23:00 +0800,954,1,421,,
2025-11-06 10:26:00 +0800,5529,1,456,,
2025-11-06 10:33:00 +0800,5529,1,456,,
2025-11-06 10:35:00 +0800,954,1,421,,
2025-11-06 10:36:00 +0800,954,1,421,,
2025-11-06 10:36:00 +0800,954,1,421,,
2025-11-06 10:44:00 +0800,954,1,421,,
2025-11-06 10:49:00 +0800,954,1,421,,
2025-11-06 10:50:00 +0800,954,1,421,,
2025-11-06 11:05:00 +0800,954,1,421,,
2025-11-06 11:05:00 +0800,954,1,421,,
2025-11-06 11:06:00 +0800,954,1,421,,
2025-11-06 11:08:00 +0800,954,1,421,,
2025-11-06 11:09:00 +0800,954,1,421,,
2025-11-06 11:09:00 +0800,954,1,421,,
2025-11-06 11:14:00 +0800,733,1,86,,
2025-11-06 11:16:00 +0800,733,1,86,,
2025-11-06 11:18:00 +0800,733,1,86,,
2025-11-06 11:21:00 +0800,733,1,86,,
2025-11-06 11:21:00 +0800,5693,1,422,,
2025-11-06 11:34:00 +0800,5693,1,422,,
2025-11-06 11:42:00 +0800,962,1,423,,
2025-11-06 11:42:00 +0800,962,1,423,,
2025-11-06 11:54:00 +0800,962,1,423,,
2025-11-06 11:54:00 +0800,962,1,423,,
2025-11-06 13:11:00 +0800,5395,1,434,,
2025-11-06 13:17:00 +0800,5395,1,434,,
